,open,high,low,close,volume
2015-01-02,20.47,20.685,20.43,20.56,1229939
2015-01-05,20.45,20.45,20.21,20.26,1083137
2015-01-06,20.46,20.58,20.15,20.25,2209124
2015-01-07,21.59,21.7,21.47,21.53,2486293
2015-01-08,21.53,21.62,21.47,21.56,1296471
2015-01-09,21.78,21.79,21.32,21.34,3013190
2015-01-12,21.38,21.4164,21.235,21.36,1995850
2015-01-13,21.4,21.49,20.985,21.18,1780482
2015-01-14,20.76,20.79,20.52,20.7,2420551
2015-01-15,21.24,21.26,20.9,20.93,2457154
2015-01-16,20.4,20.69,20.34,20.67,2586938
2015-01-20,20.91,20.92,20.655,20.82,1063704
2015-01-21,21.86,22.11,21.78,21.91,4272831
2015-01-22,21.99,22.23,21.97,22.17,1923695
2015-01-23,22.51,22.88,22.42,22.6,2962766
2015-01-26,23.3,23.47,23.28,23.37,3593357
2015-01-27,23.0,23.16,22.94,23.06,1649819
2015-01-28,23.89,23.91,23.44,23.46,3503890
2015-01-29,23.56,23.6,23.39,23.57,2570755
2015-01-30,23.42,23.6,23.27,23.29,2266298
2015-02-02,22.96,23.37,22.91,23.33,1627115
2015-02-03,23.15,23.4001,23.14,23.39,2044169
2015-02-04,24.88,26.55,24.58,25.94,9220201
2015-02-05,26.55,26.98,26.5,26.82,3567558
2015-02-06,26.61,26.799,26.52,26.57,1929544
2015-02-09,25.69,25.85,25.64,25.69,2391850
2015-02-10,25.9,26.13,25.77,26.06,2161781
2015-02-11,25.89,26.155,25.89,26.1,1556918
2015-02-12,26.68,27.14,26.67,27.11,2915667
2015-02-13,27.21,27.46,27.2,27.3,1552203
2015-02-17,26.38,26.66,26.3,26.6,2228916
2015-02-18,27.01,28.12,26.89,28.02,5021631
2015-02-19,27.26,27.49,27.15,27.37,2576189
2015-02-20,27.01,27.31,26.89,27.26,2266238
2015-02-23,27.05,27.09,26.94,27.03,1468356
2015-02-24,27.46,27.81,27.43,27.74,1686874
2015-02-25,27.6,27.83,27.57,27.69,983130
2015-02-26,28.03,28.27,28.0,28.13,1229364
2015-02-27,28.5,28.65,28.311,28.32,1668415
2015-03-02,27.95,28.13,27.893,28.11,1210216
2015-03-03,27.96,27.99,27.73,27.83,1238601
2015-03-04,27.81,27.9173,27.62,27.89,1003967
2015-03-05,27.98,28.14,27.93,28.06,1217082
2015-03-06,27.74,27.79,27.49,27.51,1421788
2015-03-09,27.15,27.31,27.09,27.27,1011188
2015-03-10,26.64,26.71,26.53,26.57,1539966
2015-03-11,26.8,26.89,26.74,26.84,1519142
2015-03-12,27.02,27.145,27.02,27.13,1190113
2015-03-13,26.63,26.63,26.41,26.56,1511045
2015-03-16,25.73,25.88,25.68,25.82,2378753
2015-03-17,27.15,27.17,26.5435,26.75,1860079
2015-03-18,27.95,28.3,27.73,28.11,2444391
2015-03-19,28.0,28.04,27.71,27.85,1054627
2015-03-20,27.95,28.1,27.74,27.91,1455246
2015-03-23,27.88,27.97,27.765,27.78,1253410
2015-03-24,27.68,27.74,27.52,27.57,943829
2015-03-25,27.42,27.46,26.64,26.69,2656863
2015-03-26,26.37,26.63,26.3386,26.54,1129892
2015-03-27,26.66,26.83,26.66,26.78,839253
2015-03-30,27.06,27.14,27.0168,27.09,1368834
2015-03-31,26.7,26.83,26.59,26.78,1751270
2015-04-01,27.46,27.47,27.0,27.26,1919091
2015-04-02,27.91,27.98,27.76,27.85,1661350
2015-04-06,29.23,29.58,29.11,29.35,2452754
2015-04-07,29.29,29.29,28.92,28.97,1581742
2015-04-08,29.39,29.59,29.33,29.52,1370255
2015-04-09,29.74,30.01,29.52,29.9,1658142
2015-04-10,30.55,30.69,30.43,30.56,2192863
2015-04-13,30.46,30.65,30.3137,30.37,1395193
2015-04-14,31.28,31.35,30.85,31.13,2717313
2015-04-15,31.63,31.77,31.39,31.75,4385740
2015-04-16,30.9,31.18,30.83,31.08,2524583
2015-04-17,29.77,30.17,29.7,30.01,3535438
2015-04-20,30.46,30.506,30.25,30.36,1042709
2015-04-21,30.92,30.95,30.7146,30.88,1867588
2015-04-22,32.1,32.599,31.98,32.35,3774929
2015-04-23,30.23,30.99,30.17,30.72,4146599
2015-04-24,31.45,31.53,31.18,31.34,3291552
2015-04-27,31.33,31.389,31.13,31.19,1472613
2015-04-28,30.88,31.09,30.8,31.01,957361
2015-04-29,30.74,30.92,30.435,30.7,1089308
2015-04-30,30.3,30.37,29.78,30.23,1271094
2015-05-01,30.31,31.1,30.3,30.91,1366449
2015-05-04,30.91,31.22,30.9,31.15,1222952
2015-05-05,30.91,31.06,30.32,30.33,1653578
2015-05-06,30.27,30.345,29.77,29.96,1977549
2015-05-07,30.11,30.34,30.06,30.3,998598
2015-05-08,30.51,30.735,30.47,30.64,958483
2015-05-11,31.13,31.195,30.82,30.84,890375
2015-05-12,31.72,31.76,31.47,31.51,2997396
2015-05-13,32.43,32.45,31.851,32.0,3731128
2015-05-14,32.02,32.205,31.92,32.19,2220968
2015-05-15,32.58,32.77,32.44,32.74,1598819
2015-05-18,32.58,32.65,32.4,32.45,647177
2015-05-19,32.95,32.95,32.57,32.61,1594283
2015-05-20,32.39,32.42,32.115,32.17,940483
2015-05-21,31.84,31.86,31.665,31.81,982036
2015-05-22,31.69,31.87,31.66,31.72,1055436
2015-05-26,31.87,31.88,31.45,31.63,1240889
